event_id,date,location,latitude,longitude,disaster_type,severity,casualties,economic_loss_million_usd,duration_hours
26940,1/27/13 11:00,Zone A,37.9999485,-121.7763206,hurricane,4,51,140.1076951,23
31915,8/22/13 18:00,Zone D,37.08352416,-122.4999708,earthquake,4,73,98.88947404,71
9342,1/25/11 5:00,Zone B,37.22119535,-122.4999967,flood,3,31,302.0504501,62
8738,12/31/10 1:00,Zone A,37.99971779,-121.5151222,earthquake,3,94,439.5824003,44
35751,1/29/14 14:00,Zone D,37.21909783,-122.4999705,flood,2,11,105.3336386,14
47616,6/7/15 23:00,Zone D,37.14385496,-122.4999526,flood,4,64,322.6904959,13
17817,1/13/12 8:00,Zone D,37.38704902,-122.4998416,hurricane,5,5,333.3567158,39
850,2/5/10 9:00,Zone D,37.29366765,-122.4998312,hurricane,6,72,69.63933146,28
25965,12/17/12 20:00,Zone B,37.94464787,-122.4998434,hurricane,3,81,45.81953847,64
32979,10/6/13 2:00,Zone D,37.38555635,-122.4997757,industrial accident,5,28,264.7421756,24
28685,4/10/13 4:00,Zone B,37.90697913,-122.4996572,hurricane,4,2,50.5681735,41
26651,1/15/13 10:00,Zone C,37.07227734,-122.4999523,flood,6,7,172.2832983,24
41913,10/13/14 8:00,Zone A,37.99970309,-121.7812639,flood,9,58,103.2289932,37
41199,9/13/14 14:00,Zone D,37.69400452,-122.4995384,fire,5,13,13.88144154,24
41385,9/21/14 8:00,Zone C,37.03205669,-122.4996963,hurricane,6,55,241.8311064,67
8779,1/1/11 18:00,Zone A,37.99966152,-122.4103934,flood,4,25,137.9319989,58
18195,1/29/12 2:00,Zone A,37.99951346,-122.0429745,earthquake,1,0,280.4448828,9
21719,6/23/12 22:00,Zone A,37.99948594,-121.6463447,hurricane,9,8,417.2524454,18
9772,2/12/11 3:00,Zone C,37.30221326,-122.4995486,industrial accident,7,65,296.4910217,35
33259,10/17/13 18:00,Zone B,37.28157775,-122.4995961,hurricane,9,37,230.5200372,4
27804,3/4/13 11:00,Zone C,37.65783713,-122.4995246,fire,1,32,42.99451413,47
46868,5/7/15 19:00,Zone D,37.6484538,-122.4992277,earthquake,2,93,56.93304067,18
13640,7/23/11 7:00,Zone D,37.9875139,-122.4991982,fire,5,98,487.8011106,1
22553,7/28/12 16:00,Zone C,37.59076695,-122.4993673,industrial accident,3,22,399.6190825,37
21217,6/3/12 0:00,Zone A,37.99947768,-122.3773496,hurricane,9,0,219.084825,10
43961,1/6/15 16:00,Zone B,37.99012147,-122.4995377,hurricane,2,85,176.9640188,15
40512,8/15/14 23:00,Zone B,37.57772066,-122.4994041,earthquake,9,79,237.9746052,52
30330,6/17/13 17:00,Zone B,37.74691427,-122.4993879,flood,2,95,345.9443356,61
7095,10/23/10 14:00,Zone B,37.86894489,-122.4993613,flood,5,38,281.8243959,60
39680,7/12/14 7:00,Zone A,37.99931437,-122.1679099,flood,6,17,174.4657577,6
39554,7/7/14 1:00,Zone B,37.06285979,-122.49928,hurricane,1,2,499.0761467,52
49727,9/3/15 22:00,Zone A,37.99924049,-121.9310187,hurricane,3,50,413.2553681,35
28758,4/13/13 5:00,Zone D,37.41447645,-122.4990504,hurricane,2,5,32.97374678,7
34192,11/25/13 15:00,Zone A,37.99904486,-121.8422364,industrial accident,4,94,131.2219862,11
