event_id,date,location,latitude,longitude,disaster_type,severity,casualties,economic_loss_million_usd,duration_hours
1,2010-01-01 00:00:00,Zone A,37.88120330477191,-122.25607666533321,earthquake,8,14,113.12796468547997,24
2,2010-01-01 01:00:00,Zone D,37.53122103108087,-121.84504564721388,fire,4,31,336.4921666843187,63
3,2010-01-01 02:00:00,Zone B,37.8680574972547,-122.14849305397978,fire,1,98,301.9246333359143,4
4,2010-01-01 03:00:00,Zone A,37.77755906573832,-121.87501944870344,industrial accident,4,69,389.76923091816445,42
5,2010-01-01 04:00:00,Zone D,37.96932111771804,-122.46598305828675,fire,7,36,279.7784477199343,26
6,2010-01-01 05:00:00,Zone D,37.92571411976295,-122.25459311929622,flood,5,15,449.94960617541534,67
7,2010-01-01 06:00:00,Zone D,37.16927560778198,-122.27677906911094,fire,3,10,113.3991021526443,17
8,2010-01-01 07:00:00,Zone D,37.57996401612264,-122.42395639841628,earthquake,1,65,337.92039192732483,32
9,2010-01-01 08:00:00,Zone B,37.02856337994114,-121.66356065982097,industrial accident,2,2,154.24797646597776,8
10,2010-01-01 09:00:00,Zone D,37.68828411243537,-121.6104278622914,industrial accident,5,45,223.08952655767885,22
11,2010-01-01 10:00:00,Zone B,37.541505508910454,-122.31873111230036,hurricane,4,78,173.48923519387546,48
12,2010-01-01 11:00:00,Zone C,37.14278145391254,-121.71814907886092,flood,3,9,204.3005086768653,34
13,2010-01-01 12:00:00,Zone A,37.66640611133113,-121.9065659336061,fire,5,32,298.93155008205787,51
14,2010-01-01 13:00:00,Zone D,37.367089413311156,-122.31527440027241,industrial accident,9,40,131.71874075849976,36
15,2010-01-01 14:00:00,Zone C,37.09459162086374,-122.12091344109025,earthquake,9,26,416.55644315259445,15
16,2010-01-01 15:00:00,Zone A,37.002991511937196,-121.55244639992397,industrial accident,4,50,138.79959008213447,37
17,2010-01-01 16:00:00,Zone A,37.60631975099808,-122.4861885211321,earthquake,6,70,84.67917510358762,9
18,2010-01-01 17:00:00,Zone A,37.79011011614614,-122.02949663622358,industrial accident,6,11,272.3410200841617,28
19,2010-01-01 18:00:00,Zone C,37.47399445052466,-121.71681192795575,hurricane,5,15,43.29185803390751,10
20,2010-01-01 19:00:00,Zone B,37.363918560240045,-121.87082431029712,industrial accident,7,71,156.10440554674898,66
21,2010-01-01 20:00:00,Zone C,37.75603036849817,-122.13621617726278,flood,4,78,205.40072695229054,29
22,2010-01-01 21:00:00,Zone D,37.00632670154317,-122.47804484545367,flood,1,64,367.4729464634114,45
23,2010-01-01 22:00:00,Zone D,37.80624946112962,-121.6024185017953,fire,6,10,306.15766193782827,3
24,2010-01-01 23:00:00,Zone C,37.1463130342433,-121.99714336367717,earthquake,4,84,123.13695520282951,47
25,2010-01-02 00:00:00,Zone A,37.29341979800222,-122.2003706644915,hurricane,4,2,384.91092253110696,40
26,2010-01-02 01:00:00,Zone B,37.613837327223195,-122.451365229801,industrial accident,4,7,332.9741401791055,10
27,2010-01-02 02:00:00,Zone B,37.805989801899464,-121.50678490119813,fire,8,33,301.4575718733345,67
28,2010-01-02 03:00:00,Zone B,37.147080332546956,-121.68312376441324,hurricane,4,68,264.1353527956843,10
29,2010-01-02 04:00:00,Zone B,37.66029159281726,-122.33114472516239,flood,1,32,470.03870083846675,2
30,2010-01-02 05:00:00,Zone A,37.40847580997539,-121.61426634488897,hurricane,5,96,312.3404125614255,39
31,2010-01-02 06:00:00,Zone B,37.25638413629757,-122.43924370678731,hurricane,4,59,324.3087007231127,8
32,2010-01-02 07:00:00,Zone A,37.39374154368089,-121.67941880246572,industrial accident,3,4,227.03548408859402,6
33,2010-01-02 08:00:00,Zone D,37.38463804119086,-122.24610367137677,hurricane,6,26,153.82538446125983,26
34,2010-01-02 09:00:00,Zone A,37.835705828623496,-121.50312459070734,flood,1,24,498.6044506979612,36
35,2010-01-02 10:00:00,Zone D,37.53699062038045,-122.45620091396644,fire,4,28,189.7091243183295,28
36,2010-01-02 11:00:00,Zone B,37.84165465783802,-122.34939386006798,hurricane,6,95,414.5390485014295,50
37,2010-01-02 12:00:00,Zone C,37.166014416068535,-121.7199081849457,hurricane,5,85,204.45232824282076,66
38,2010-01-02 13:00:00,Zone D,37.837595831658966,-122.47761322541778,industrial accident,2,97,332.38743286281965,24
39,2010-01-02 14:00:00,Zone D,37.31090179554529,-122.3664048889818,flood,1,92,339.4366661397194,45
40,2010-01-02 15:00:00,Zone A,37.71662890659516,-122.26661853613545,industrial accident,1,42,482.31745280644697,18
41,2010-01-02 16:00:00,Zone C,37.49894271961619,-122.27294884385945,fire,1,18,23.321939817140365,41
42,2010-01-02 17:00:00,Zone D,37.59874475981531,-122.10877642127632,fire,7,31,45.693252714235726,17
43,2010-01-02 18:00:00,Zone A,37.64255778238047,-121.72020098433174,industrial accident,2,15,324.8507934821286,16
44,2010-01-02 19:00:00,Zone B,37.640137125080194,-122.31082748738321,hurricane,7,66,464.2356989121762,12
45,2010-01-02 20:00:00,Zone D,37.933368910909216,-122.17450842654729,flood,8,69,460.5364084389134,19
46,2010-01-02 21:00:00,Zone B,37.68057535572591,-122.0514716482015,industrial accident,5,60,188.79306270376426,48
47,2010-01-02 22:00:00,Zone D,37.57611589497496,-122.15081209732045,industrial accident,5,98,135.6127045895812,1
48,2010-01-02 23:00:00,Zone D,37.27045168109373,-121.85220064122532,earthquake,7,62,323.53994402301566,70
49,2010-01-03 00:00:00,Zone C,37.83392349001758,-121.5128911945902,industrial accident,8,5,497.5061517854473,68
50,2010-01-03 01:00:00,Zone D,37.291337795744376,-122.47669017529209,earthquake,1,98,36.28355339502754,70
51,2010-01-03 02:00:00,Zone A,37.464070656283596,-121.59551860617312,industrial accident,2,76,435.4907028733843,17
52,2010-01-03 03:00:00,Zone B,37.38620976191807,-121.81128597610774,industrial accident,1,11,480.2459876111134,48
53,2010-01-03 04:00:00,Zone B,37.51723502684196,-122.45953619140303,earthquake,8,15,95.23686519049194,4
54,2010-01-03 05:00:00,Zone B,37.96851869104228,-122.10133147995205,fire,2,5,371.74635690026935,7
55,2010-01-03 06:00:00,Zone D,37.043388213558465,-121.57889662926898,fire,7,75,141.9700102952937,14
56,2010-01-03 07:00:00,Zone A,37.52355473932279,-121.59558863963068,industrial accident,9,17,338.4078254046371,12
57,2010-01-03 08:00:00,Zone D,37.20492708190239,-122.40562388051634,flood,6,75,63.260221954595366,66
58,2010-01-03 09:00:00,Zone C,37.127090194604314,-121.98487986654854,industrial accident,3,18,304.5333224053928,42
59,2010-01-03 10:00:00,Zone A,37.500118776054215,-122.07102991547771,earthquake,6,21,71.62129232501391,13
60,2010-01-03 11:00:00,Zone D,37.53641197526146,-121.57804777084607,fire,2,58,100.33910394600221,8
61,2010-01-03 12:00:00,Zone D,37.69838596215827,-122.09915002940369,flood,2,57,12.249843961145412,70
62,2010-01-03 13:00:00,Zone C,37.28335573768298,-121.68282292534633,earthquake,8,24,240.56523129852636,71
63,2010-01-03 14:00:00,Zone D,37.01419542098695,-122.14828778153756,industrial accident,9,95,80.89185279361051,62
64,2010-01-03 15:00:00,Zone C,37.42349171574747,-121.8386009724735,industrial accident,3,95,397.79221346661416,23
65,2010-01-03 16:00:00,Zone D,37.29702545000171,-121.61884620496927,fire,7,66,414.9701839860272,5
66,2010-01-03 17:00:00,Zone A,37.94713859150193,-122.05871463011208,fire,6,64,220.59855932066594,65
67,2010-01-03 18:00:00,Zone C,37.44958175651278,-121.93849320375239,fire,6,12,246.24103393323645,37
68,2010-01-03 19:00:00,Zone A,37.802439255427146,-122.44998220267567,fire,4,77,123.22680436511278,28
69,2010-01-03 20:00:00,Zone A,37.9714179961481,-121.72498291140559,flood,8,87,368.1850195960876,48
70,2010-01-03 21:00:00,Zone A,37.070144675815165,-121.50381232054924,hurricane,5,61,322.69223552156996,39
71,2010-01-03 22:00:00,Zone B,37.66927981276617,-121.51995246284673,fire,4,34,398.032435380651,35
72,2010-01-03 23:00:00,Zone B,37.82127801289935,-121.84425582182641,hurricane,5,82,478.7458046419232,32
73,2010-01-04 00:00:00,Zone C,37.008990925258,-122.05228126827494,earthquake,1,20,456.29501639623066,58
74,2010-01-04 01:00:00,Zone A,37.08461473166627,-122.44673744241656,flood,1,4,165.92548927707085,7
75,2010-01-04 02:00:00,Zone A,37.62691804811498,-121.86121239675163,earthquake,3,72,285.0642845812571,50
76,2010-01-04 03:00:00,Zone B,37.554147819488584,-121.5908547433485,earthquake,1,31,34.8969781759012,37
77,2010-01-04 04:00:00,Zone D,37.09712116357035,-122.10002938200054,hurricane,3,17,207.57774843334252,5
78,2010-01-04 05:00:00,Zone A,37.968498582439324,-122.07496816321779,hurricane,7,92,352.1871066379869,54
79,2010-01-04 06:00:00,Zone B,37.28348086399763,-121.64529311089571,hurricane,7,56,442.41549662890856,6
80,2010-01-04 07:00:00,Zone C,37.875866762567895,-121.90643990251334,flood,8,37,463.61719344539154,71
81,2010-01-04 08:00:00,Zone C,37.70457379853848,-122.14673346534482,fire,4,0,248.7246148911699,36
82,2010-01-04 09:00:00,Zone D,37.87939663547202,-121.98601057104241,flood,2,15,474.0431261974687,25
83,2010-01-04 10:00:00,Zone A,37.59974452407393,-122.10269934751182,industrial accident,5,18,11.004870471730577,57
84,2010-01-04 11:00:00,Zone B,37.88407234621654,-121.69960997329214,earthquake,2,45,191.4077641276601,61
85,2010-01-04 12:00:00,Zone B,37.7002582605306,-122.01496073468678,earthquake,6,10,375.90925680776104,62
86,2010-01-04 13:00:00,Zone D,37.460596624897576,-121.57694133444107,fire,1,92,463.81082494815735,17
87,2010-01-04 14:00:00,Zone B,37.22941115263724,-121.96869429035027,industrial accident,8,42,32.37235171423011,3
88,2010-01-04 15:00:00,Zone B,37.93593617145091,-122.22335724766216,fire,4,89,148.44766408222273,13
89,2010-01-04 16:00:00,Zone D,37.800689832882824,-121.81202312776655,industrial accident,2,2,299.93215652704265,60
90,2010-01-04 17:00:00,Zone C,37.52823965405062,-121.72496907386379,hurricane,3,53,224.079439280549,54
91,2010-01-04 18:00:00,Zone D,37.24468159225839,-121.99054270301447,earthquake,5,62,280.2171943571476,43
92,2010-01-04 19:00:00,Zone D,37.19692068762677,-122.24884045455092,flood,6,49,9.961689164215668,53
93,2010-01-04 20:00:00,Zone C,37.3586704755828,-122.35804153355016,industrial accident,3,58,458.6074204299305,37
94,2010-01-04 21:00:00,Zone C,37.412672092463545,-122.15535975935491,fire,4,74,169.1814682883722,34
95,2010-01-04 22:00:00,Zone D,37.81232860197671,-121.63235882155102,fire,5,76,417.1527348100007,62
96,2010-01-04 23:00:00,Zone A,37.1386301932889,-122.1261298289336,industrial accident,1,18,340.9586128972174,68
